"Year","Cut","Cut_lab"
1957,6,"+6"
1958,5,"+5"
1959,5,"+5"
1960,6,"+6"
1961,5,"+5"
1962,5,"+5"
1963,8,"+8"
1964,4,"+4"
1965,4,"+4"
1966,9,"+9"
1967,6,"+6"
1968,5,"+5"
1969,4,"+4"
1970,6,"+6"
1971,6,"+6"
1972,7,"+7"
1973,7,"+7"
1974,4,"+4"
1975,4,"+4"
1976,6,"+6"
1977,5,"+5"
1978,5,"+5"
1979,1,"+1"
1980,2,"+2"
1981,4,"+4"
1982,10,"+10"
1983,3,"+3"
1984,2,"+2"
1985,6,"+6"
1986,5,"+5"
1987,7,"+7"
1988,7,"+7"
1989,7,"+7"
1990,4,"+4"
1991,2,"+2"
1992,1,"+1"
1993,3,"+3"
1994,5,"+5"
1995,1,"+1"
1996,2,"+2"
1997,5,"+5"
1998,6,"+6"
1999,4,"+4"
2000,4,"+4"
2001,1,"+1"
2002,3,"+3"
2003,5,"+5"
2004,4,"+4"
2005,4,"+4"
2006,4,"+4"
2007,8,"+8"
2008,3,"+3"
2009,1,"+1"
2010,3,"+3"
2011,1,"+1"
2012,5,"+5"
2013,4,"+4"
2014,4,"+4"
2015,2,"+2"
2016,6,"+6"
2017,6,"+6"
2018,5,"+5"
2019,4,"+4"
2020,0,"E"
2021,3,"+3"
2022,4,"+4"
2023,3,"+3"
